2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018
,Hombres,Mujeres,Hombres,Mujeres,Hombres,Mujeres,Hombres,Mujeres,Hombres,Mujeres,Hombres,Mujeres,Hombres,Mujeres,Hombres,Mujeres,Hombres,Mujeres
Aguascalientes,65,10,69,13,33,12,36,9,42,4,38,7,42,4,76,8,73,9
Baja California,1408,117,708,94,500,77,684,76,630,77,744,109,1019,130,1955,205,2603,272
Baja California Sur,45,10,34,8,33,4,35,12,82,10,158,22,224,14,673,77,169,31
Campeche,39,9,39,8,65,15,59,12,63,15,58,9,82,10,72,6,65,14
Coahuila de Zaragoza,389,60,670,60,1023,132,694,106,405,63,252,61,215,42,234,41,214,30
Colima,126,5,145,17,240,25,207,18,122,18,202,25,545,63,786,77,660,85
Chiapas,176,22,160,24,332,57,406,85,395,65,473,66,472,80,525,66,610,52
Chihuahua,5816,580,4084,410,2498,269,1937,187,1580,172,1394,142,1614,170,1990,258,2695,279
Ciudad de México,932,145,955,140,963,122,964,146,946,152,945,135,1133,146,1177,143,1331,138
Durango,1012,94,899,59,741,72,424,48,320,28,189,9,202,12,172,28,157,21
Guanajuato,397,48,550,64,614,68,625,77,730,69,863,107,1104,124,2067,216,3152,362
Guerrero,1427,121,2221,188,2401,236,2031,232,1532,190,2191,219,2331,249,2388,215,2121,238
Hidalgo,90,22,179,29,124,33,137,30,167,43,181,52,176,43,258,53,285,54
Jalisco,992,78,1415,111,1413,145,1358,130,929,109,1082,147,1167,131,1428,142,2617,284
México,1833,277,2252,356,2508,389,2835,468,2538,362,2274,408,2337,421,2595,470,2707,458
Michoacán de Ocampo,657,64,773,81,736,88,833,89,842,90,783,88,1293,132,1585,145,1887,184
Morelos,452,41,404,47,608,63,565,61,381,56,416,49,572,87,571,79,735,84
Nayarit,491,48,533,54,266,19,204,20,150,24,132,11,123,26,415,59,354,39
Nuevo León,860,85,1899,231,1559,168,792,120,477,79,412,59,545,82,603,61,758,92
Oaxaca,647,86,604,77,605,90,659,103,609,136,712,95,684,108,886,131,996,132
Puebla,322,54,369,68,408,56,448,107,474,92,538,94,639,96,933,143,1109,137
Querétaro,68,6,91,18,95,17,95,24,87,19,119,20,117,19,183,35,200,29
Quintana Roo,115,30,138,23,125,29,135,29,103,22,124,21,164,29,406,48,748,92
San Luis Potosí,329,37,314,50,395,57,268,34,226,43,225,38,299,32,457,49,502,60
Sinaloa,2300,116,1867,116,1321,73,1157,63,1062,94,1040,53,1215,85,1553,85,1159,52
Sonora,684,50,483,53,479,41,592,56,608,55,515,65,526,52,691,65,869,63
Tabasco,171,22,206,24,175,20,217,29,208,27,338,34,383,48,403,47,519,48
Tamaulipas,836,95,977,77,1360,172,748,95,735,141,577,79,668,133,1048,141,1270,132
Tlaxcala,49,7,70,16,59,14,74,17,65,23,67,13,84,12,108,18,130,22
Veracruz de Ignacio de la Llave,400,60,843,151,864,142,665,96,783,96,891,113,1146,142,1631,213,1365,145
Yucatán,31,3,46,7,33,8,36,13,39,8,49,9,55,9,39,13,49,10
Zacatecas,126,16,260,19,410,51,360,56,173,26,311,24,497,82,614,93,656,104
