Rank,Player,Team,Goals,MatchesPlayed,GoalsperGame,Tournaments
1,Miroslav Klose,Germany,16,24,0.67,2002-2010
2,Ronaldo,Brazil,15,19,0.79,1994-2006
3,Gerd Müller,West Germany,14,13,1.08,1970-1974
4,Just Fontaine,France,13,6,2.17,1958
5,Pelé,Brazil,12,14,0.86,1958-1970
6,Sándor Kocsis,Hungary,11,5,2.2,1954
,Jürgen Klinsmann,Germany,11,17,0.65,1990-1998
8,Helmut Rahn,West Germany,10,10,1,1954-1958
,Gary Lineker,England,10,12,0.83,1986-1990
,Gabriel Batistuta,Argentina,10,12,0.83,1994-2002
,Teófilo Cubillas,Peru,10,13,0.77,1970-1982
,Thomas Müller,Germany,10,16,0.63,2010-2018
,Grzegorz Lato,Poland,10,20,0.5,1974-1982
14,Eusébio,Portugal,9,6,1.5,1966
,Christian Vieri,Italy,9,9,1,1998-2002
,Vavá,Brazil,9,10,0.9,1958-1962
,David Villa,Spain,9,12,0.75,2006-2014
,Paolo Rossi,Italy,9,14,0.64,1978-1986
,Jairzinho,Brazil,9,16,0.56,1966-1974
,Roberto Baggio,Italy,9,16,0.56,1990-1998
,Karl-Heinz Rummenigge,West Germany,9,19,0.47,1978-1986
,Uwe Seeler,West Germany,9,21,0.43,1958-1970
23,Guillermo Stábile,Argentina,8,4,2,1930
,Leônidas,Brazil,8,5,1.6,1934-1938
,Ademir,Brazil,8,6,1.33,1950
,Óscar Míguez,Uruguay,8,7,1.14,1950-1954
,Rivaldo,Brazil,8,14,0.57,1998-2002
,RudiVöller,West Germany,8,15,0.53,1986-1994
,Diego Maradona,Argentina,8,21,0.38,1982-1994
30,Oldřich Nejedlý,Czechoslovakia,7,6,1.17,1934-1938
,Lajos Tichy,Hungary,7,8,0.88,1958-1966
,Careca,Brazil,7,9,0.78,1986-1990
,Johnny Rep,Netherlands,7,13,0.54,1974-1978
,Andrzej Szarmach,Poland,7,13,0.54,1974-1982
,Luis Suárez,Uruguay,7,13,0.54,2010-2018
,Hans Schäfer,West Germany,7,15,0.47,1954-1962
,Cristiano Ronaldo,Portugal,7,17,0.41,2006-2018
38,Josef Hügi,Switzerland,6,3,2,1954
,Oleg Salenko,Russia,6,3,2,1994
,György Sárosi,Hungary,6,5,1.2,1934-1938
,Max Morlock,West Germany,6,5,1.2,1954
,Erich Probst,Austria,6,5,1.2,1954
,Harry Kane,England,6,6,1,2018
,Salvatore Schillaci,Italy,6,7,0.86,1990
,Davor Šuker,Croatia,6,8,0.75,(1990)1998-2002
,James Rodríguez,Colombia,6,8,0.75,2014-2018
,Helmut Haller,West Germany,6,9,0.67,1962-1970
,Hristo Stoichkov,Bulgaria,6,10,0.6,1994-1998
,Diego Forlán,Uruguay,6,10,0.6,2002-2014
,Neymar,Brazil,6,10,0.6,2014-2018
,Asamoah Gyan,Ghana,6,11,0.55,2006-2014
,Dennis Bergkamp,Netherlands,6,12,0.5,1994-1998
,Rob Rensenbrink,Netherlands,6,13,0.46,1974-1978
,Rivellino,Brazil,6,15,0.4,1970-1978
,Bebeto,Brazil,6,15,0.4,1990-1998
,Arjen Robben,Netherlands,6,15,0.4,2006-2014
,Zbigniew Boniek,Poland,6,16,0.38,1978-1986
,Thierry Henry,France,6,17,0.35,1998-2010
,Wesley Sneijder,Netherlands,6,17,0.35,2006-2014
,Robinvan Persie,Netherlands,6,17,0.35,2006-2014
,Mario Kempes,Argentina,6,18,0.33,1974-1982
,LionelMessi,Argentina,6,19,0.32,2006-2018
,Lothar Matthäus,Germany,6,25,0.24,1982-1998
